,Date,Close,High,Low,Open,Volume
0,2014-01-02,17.140657424926758,17.26151277925325,17.106260666452766,17.21967861543947,234684800
1,2014-01-03,16.76415252685547,17.158325179571857,16.74710805490898,17.132295909276262,392467600
2,2014-01-06,16.855567932128906,16.944504031481188,16.53545656017902,16.65476290012405,412610800
3,2014-01-07,16.735027313232422,16.918478434724147,16.669331856180616,16.867657795487276,317209200
4,2014-01-08,16.841001510620117,16.906076331395386,16.693186788401356,16.696903836479006,258529600
5,2014-01-09,16.62594223022461,16.946363058618957,16.589685285879924,16.944502879440417,279148800
6,2014-01-10,16.515003204345703,16.75857248143182,16.45829421947305,16.728513376422715,304976000
7,2014-01-13,16.601469039916992,16.811260599931312,16.42018589636468,16.42111598634794,378492800
8,2014-01-14,16.931804656982422,16.942340159066482,16.661274279402626,16.678628233982185,332561600
9,2014-01-15,17.27174186706543,17.359749524261954,17.095107596265763,17.152746670409964,391638800
10,2014-01-16,17.175369262695312,17.255939517424654,17.095727442624238,17.195511826377647,229278000
11,2014-01-17,16.754545211791992,17.107813774500585,16.730683944401697,17.089531389921543,426739600
12,2014-01-21,17.01485252380371,17.04584007062926,16.746801306956854,16.76446473823591,328526800
13,2014-01-22,17.09046745300293,17.2695792776985,16.975809869158475,17.07187392873953,379985200
14,2014-01-23,17.235177993774414,17.24509453745605,16.882839489646738,17.041810356874198,403239200
15,2014-01-24,16.92188262939453,17.217821576431092,16.880976892566213,17.167619908714535,429354800
16,2014-01-27,17.059158325195312,17.192409364663717,16.91196421841704,17.04583421422656,554878800
17,2014-01-28,15.695673942565918,15.959074736213543,15.55839300642784,15.765707063017208,1065523200
18,2014-01-29,15.517483711242676,15.722628041011234,15.451478795794904,15.616647478479718,502810000
19,2014-01-30,15.487427711486816,15.695671829932287,15.391984283410293,15.572956250319066,678501600
20,2014-01-31,15.512836456298828,15.541655996242199,15.294367992485544,15.344879143204025,464797200
21,2014-02-03,15.541655540466309,15.73378524946643,15.47255252823215,15.575123872795643,401464000
22,2014-02-04,15.766629219055176,15.787392391758234,15.579768939545414,15.675523475606802,376681200
23,2014-02-05,15.884395599365234,15.967754506209895,15.687928143843846,15.697535212759911,328344800
24,2014-02-06,15.976973533630371,16.007836891048775,15.830454996950898,15.900597628917389,257765200
25,2014-02-07,16.200490951538086,16.30180660868762,16.128791664859886,16.25348708987321,370280400
26,2014-02-10,16.490720748901367,16.584243148332206,16.148118834811644,16.168693296522868,345559200
27,2014-02-11,16.7080078125,16.763807601476085,16.506621785703093,16.541226112408783,282256800
28,2014-02-12,16.706750869750977,16.820225035219206,16.62320606066971,16.73886120499241,308100800
29,2014-02-13,16.97205352783203,16.985146068706705,16.653142606905494,16.66748213571444,307398000
30,2014-02-14,16.958337783813477,17.020375859960918,16.87167627030939,16.910953899391064,272924400
31,2014-02-18,17.02068519592285,17.18278864041994,17.008837977552755,17.020996526703517,260251600
32,2014-02-19,16.75196647644043,17.048742983526264,16.657821372587083,16.982029952888443,313768000
33,2014-02-20,16.55805778503418,16.740425979604183,16.491033448706485,16.61541755103095,305858000
34,2014-02-21,16.374130249023438,16.664671688605665,16.35386711755956,16.609181575082456,278784800
35,2014-02-24,16.445837020874023,16.51972065059854,16.285916205676894,16.30867332259754,288909600
36,2014-02-25,16.27468490600586,16.508800560807728,16.24164057040515,16.502878618963123,231952000
37,2014-02-26,16.12786102294922,16.366342054743203,16.073306549433408,16.32301047264494,276217200
38,2014-02-27,16.4495792388916,16.484181909625022,16.087336691827637,16.121316700953365,301882000
39,2014-02-28,16.404996871948242,16.607939557645736,16.27655879364591,16.493529675851008,371968800
40,2014-03-03,16.452383041381836,16.542475841268228,16.298071193374476,16.317087343729327,238781200
41,2014-03-04,16.56085968017578,16.60450423815078,16.452686439288208,16.553379420821148,259140000
42,2014-03-05,16.595781326293945,16.67028593510728,16.495088308358277,16.550891429589203,200062800
43,2014-03-06,16.545589447021484,16.660621985269117,16.462978590104132,16.609184157068423,185488800
44,2014-03-07,16.535934448242188,16.583942666888607,16.39908039147446,16.556197592546027,220729600
45,2014-03-10,16.550891876220703,16.626020813407308,16.470461991996867,16.471086318359603,178584000
46,2014-03-11,16.712059020996094,16.794669882225865,16.60295008505183,16.692108880929258,279224400
47,2014-03-12,16.7282657623291,16.751334198698288,16.584554198574175,16.66280141573031,199326400
48,2014-03-13,16.5424747467041,16.823351693105003,16.49602486403947,16.754146362545736,257742800
49,2014-03-14,16.356678009033203,16.549956130945258,16.30399318865017,16.484490101332312,237199200
50,2014-03-17,16.42058563232422,16.521276997241475,16.392840566247067,16.450513343563514,199544800
51,2014-03-18,16.565855026245117,16.58362418799424,16.372576892095463,16.394398348391327,209647200
52,2014-03-19,16.56148910522461,16.716734918501277,16.491035129522803,16.592663799090488,224756000
53,2014-03-20,16.48168182373047,16.605443264299176,16.439597240081735,16.518778456884238,208398400
54,2014-03-21,16.611675262451172,16.639108988067665,16.407798628664032,16.582371887977576,374046400
55,2014-03-24,16.80870246887207,16.84954007757085,16.679953037851536,16.784698365882996,355700800
56,2014-03-25,16.9895076751709,17.013200443106683,16.821167653788645,16.88071173679218,282293200
57,2014-03-26,16.82709503173828,17.114519953778544,16.798415971103406,17.037208358590938,299768000
58,2014-03-27,16.754770278930664,16.88071440032812,16.681823979239603,16.834575844962643,222031600
59,2014-03-28,16.736064910888672,16.800906619002124,16.654701028761355,16.781579138336372,200564000
60,2014-03-31,16.73232078552246,16.859198858499706,16.707068038328313,16.809943681433587,168669200
61,2014-04-01,16.88538360595703,16.892242869961887,16.733254453600797,16.764116147012935,200760000
62,2014-04-02,16.9134464263916,16.9424384819282,16.842058442622577,16.908147143471364,180420800
63,2014-04-03,16.796228408813477,16.91188360450377,16.76037876107928,16.877280944469984,162344000
64,2014-04-04,16.578947067260742,16.83395026369861,16.54029210754426,16.828028319874356,275251200
65,2014-04-07,16.318647384643555,16.550270846486356,16.26939385185872,16.46048936790037,289850400
66,2014-04-08,16.31770896911621,16.401255484538133,16.16994341620336,16.372263435206552,243888400
67,2014-04-09,16.532184600830078,16.537483882209255,16.273440486389827,16.292767962836848,206169600
68,2014-04-10,16.31895637512207,16.592040043296514,16.30929180347379,16.54340751919351,239652000
69,2014-04-11,16.19831657409668,16.29869661528102,16.121316310305264,16.179298757593127,271717600
70,2014-04-14,16.262842178344727,16.27780436574673,16.12349421758362,16.26969977820106,205674000
71,2014-04-15,16.146875381469727,16.26159492904835,15.94019173251897,16.218887678090713,266490000
72,2014-04-16,16.179609298706055,16.244451002899066,16.027791439470256,16.149681589907594,214765600
73,2014-04-17,16.36446762084961,16.452379421093223,16.185529048423593,16.210468802374987,284334400
74,2014-04-21,16.558687210083008,16.5889245882741,16.333921366966134,16.376941620928136,182548800
75,2014-04-22,16.57520866394043,16.579260958583937,16.41310355923666,16.469527683214924,202563200
76,2014-04-23,16.358545303344727,16.55743567437747,16.34919206339209,16.492905311158488,394940000
77,2014-04-24,17.69965171813965,17.769170039799157,17.480186858491265,17.713368584030842,759911600
78,2014-04-25,17.829647064208984,17.831203717789712,17.580878838176936,17.598646332309084,390275200
79,2014-04-28,18.520153045654297,18.571902211910643,17.84866420198284,17.856459125137366,669485600
80,2014-04-29,18.465282440185547,18.57906798749247,18.377372304046144,18.5092383406903,337377600
81,2014-04-30,18.39546012878418,18.686626047763777,18.386419880510662,18.474954378243478,456640800
82,2014-05-01,18.43878173828125,18.542278364237802,18.279170678513623,18.454990909845844,244048000
83,2014-05-02,18.47307586669922,18.523579701789373,18.383607411320625,18.465595605250066,191514400
84,2014-05-05,18.73431396484375,18.735562617433608,18.3926476539863,18.397012943440444,287067200
85,2014-05-06,18.53012466430664,18.841863247941095,18.53012466430664,18.760499386044653,374564400
86,2014-05-07,18.465282440185547,18.619905586291086,18.32188218345591,18.556310878031084,282864400
87,2014-05-08,18.432373046875,18.6336283060205,18.382529673706934,18.44052290380709,230297200
88,2014-05-09,18.35556411743164,18.377820518468376,18.19223889857053,18.324215305229682,291597600
89,2014-05-12,18.584096908569336,18.610115174618187,18.41387573872718,18.416698388270866,213208800
90,2014-05-13,18.61325454711914,18.637705797643918,18.51733131192108,18.558082280015817,159737200
91,2014-05-14,18.616695404052734,18.727354635035386,18.54992451674478,18.571554781870745,166404000
92,2014-05-15,18.458389282226562,18.70227723982366,18.433938039952864,18.64271699366624,230846000
93,2014-05-16,18.730798721313477,18.731424860409938,18.351172596130912,18.452426319537413,276256400
94,2014-05-19,18.95274543762207,19.038638672978788,18.725157243340274,18.741458625908606,317755200
95,2014-05-20,18.956504821777344,19.009482215501052,18.83173907503656,18.95023506006911,234836000
96,2014-05-21,19.00666618347168,19.018890966354963,18.873437479408576,18.92892279224311,196859600
97,2014-05-22,19.036762237548828,19.117641359700077,18.937390240562497,19.015759782831637,200760000
98,2014-05-23,19.251806259155273,19.270615547401217,19.01168020547344,19.036131443108687,232209600
99,2014-05-27,19.61231231689453,19.619521289249715,19.298830840438697,19.306667626224723,348866000
100,2014-05-28,19.561534881591797,19.743980876462807,19.554324232556592,19.624543933620807,315481600
101,2014-05-29,19.917951583862305,19.96466089432377,19.679392570066735,19.681900474979685,376474000
102,2014-05-30,19.843347549438477,20.193505047498213,19.71481991042042,19.999460473370117,564020800
103,2014-06-02,19.706979751586914,19.900711222926386,19.514189163142866,19.873439012309888,369350800
104,2014-06-03,19.98566246032715,20.023281032361183,19.69443913038088,19.701021961944644,292709200
105,2014-06-04,20.213882446289062,20.310122064451768,19.940840512466778,19.982534022960365,335482000
106,2014-06-05,20.293180465698242,20.356504203946113,20.144591340686304,20.25713060170471,303805600
107,2014-06-06,20.237390518188477,20.415763184431352,20.202909332631915,20.37312879564793,349938400
108,2014-06-09,20.561214447021484,20.600713112931718,20.133313628134665,20.341777786224377,301660000
109,2014-06-10,20.68190574645996,20.857455748723467,20.53268874678665,20.787236082651845,251108000
110,2014-06-11,20.596328735351562,20.793822099604487,20.51074855653682,20.655575907542865,182724000
111,2014-06-12,20.25181007385254,20.65337957379483,20.16622990818207,20.635824238742195,218996000
112,2014-06-13,20.030179977416992,20.28472733102392,19.9424049701674,20.232061322172754,218100000
113,2014-06-16,20.23206901550293,20.352759905635477,20.067491442141996,20.080658786446236,142244000
114,2014-06-17,20.20572853088379,20.341778191822645,20.144286532502512,20.256198026338883,118904000
115,2014-06-18,20.2276668548584,20.251805015985067,20.045534066054817,20.247415346233776,134056000
116,2014-06-19,20.157451629638672,20.254004295332535,20.043343629424317,20.251809459975263,142112000
117,2014-06-20,19.948984146118164,20.308860072923082,19.94678931112695,20.155253432740917,403592000
118,2014-06-23,19.931432723999023,20.104787890599354,19.88096155431279,20.03895622129886,174776000
119,2014-06-24,19.810747146606445,20.131124562289326,19.790998645075888,19.913882674606487,156144000
120,2014-06-25,19.828310012817383,19.90291772358964,19.672510080760638,19.795394156936105,147476000
121,2014-06-26,19.94679832458496,19.97971416765274,19.705418265703468,19.830497130025563,130516000
122,2014-06-27,20.18379020690918,20.188178204667004,19.918270302904894,19.929242808553415,256116000
123,2014-06-30,20.392257690429688,20.56780776393665,20.207929945830422,20.210124782145893,197929200
124,2014-07-01,20.52172088623047,20.64241174936028,20.436140701163612,20.52172088623047,152892000
125,2014-07-02,20.512939453125,20.640211441941588,20.427357616575687,20.598519615505477,113860000
126,2014-07-03,20.63363265991211,20.64899316196528,20.451499796875133,20.55463531387605,91567200
127,2014-07-07,21.059337615966797,21.06372561275918,20.648990437867973,20.657768105621678,225872000
128,2014-07-08,20.923282623291016,21.241466745666152,20.60948817111065,21.125163923865735,260888000
129,2014-07-09,20.932069778442383,21.05495381290348,20.793825239673648,20.943042284734727,145744000
130,2014-07-10,20.855266571044922,20.967179769702636,20.521721811091947,20.574387830559903,158744000
131,2014-07-11,20.894758224487305,21.041780379197355,20.815760896010815,20.925479221764963,136072000
132,2014-07-14,21.16466522216797,21.261217888460923,20.989116898380342,21.035198396155927,171240000
133,2014-07-15,20.916704177856445,21.252442028900226,20.85306734003843,21.24147119945029,181911600
134,2014-07-16,20.79820442199707,21.30729735862269,20.78942675551765,21.27877119819109,213585200
135,2014-07-17,20.4273624420166,20.907929370573864,20.313256089944208,20.853070193310952,229192000
136,2014-07-18,20.721410751342773,20.789435602796495,20.41200415440279,20.5436675334569,199952000
137,2014-07-21,20.61388397216797,20.846486336610763,20.56560763067928,20.8442915008606,156316000
138,2014-07-22,20.78504180908203,20.82234564146652,20.65338014090981,20.77626414131469,220788000
139,2014-07-23,21.327054977416992,21.47846517311874,20.883791873278643,20.938651052313734,371672000
140,2014-07-24,21.291942596435547,21.35557943992729,21.158086076361393,21.29413743218882,182916000
141,2014-07-25,21.432382583618164,21.4696864216816,21.206363045250146,21.25244455241719,173876000
