Date,Close,High,Low,Open,Volume,log_return,rolling_volatility,hl_spread,volume_change
2014-01-02,6221.14990234375,6358.2998046875,6211.2998046875,6301.25,158100,-0.001608713160675422,0.12214555361299506,147.0,-0.12080961416824798
2014-01-03,6211.14990234375,6221.7001953125,6171.25,6194.5498046875,139000,-0.001608713160675422,0.12214555361299506,50.4501953125,-0.12080961416824798
2014-01-06,6191.4501953125,6224.7001953125,6170.25,6220.85009765625,118300,-0.0031767086647526764,0.12214555361299506,54.4501953125,-0.1489208633093525
2014-01-07,6162.25,6221.5,6144.75,6203.89990234375,138600,-0.004727369003838941,0.12214555361299506,76.75,0.17159763313609466
2014-01-08,6174.60009765625,6192.10009765625,6160.35009765625,6178.0498046875,146900,0.0020021483091771735,0.12214555361299506,31.75,0.059884559884559874
2014-01-09,6168.35009765625,6188.0498046875,6148.25,6181.7001953125,150100,-0.0010127239331396106,0.12214555361299506,39.7998046875,0.021783526208305037
2014-01-10,6171.4501953125,6239.10009765625,6139.60009765625,6178.85009765625,159900,0.0005024550880677336,0.12214555361299506,99.5,0.0652898067954697
2014-01-13,6272.75,6288.2001953125,6189.5498046875,6189.5498046875,135000,0.01628100492203701,0.12214555361299506,98.650390625,-0.15572232645403372
2014-01-14,6241.85009765625,6280.35009765625,6234.14990234375,6260.25,110200,-0.004938226534857065,0.12214555361299506,46.2001953125,-0.1837037037037037
2014-01-15,6320.89990234375,6325.2001953125,6265.2998046875,6265.9501953125,145900,0.012584959187806487,0.12214555361299506,59.900390625,0.32395644283121605
2014-01-16,6318.89990234375,6346.5,6299.85009765625,6341.35009765625,153400,-0.0003164607110232277,0.12214555361299506,46.64990234375,0.051405071967100646
2014-01-17,6261.64990234375,6327.10009765625,6246.35009765625,6306.25,167700,-0.009101413862469748,0.12214555361299506,80.75,0.09322033898305082
2014-01-20,6303.9501953125,6307.4501953125,6243.35009765625,6261.75,122100,0.006732738974413205,0.12214555361299506,64.10009765625,-0.27191413237924866
2014-01-21,6313.7998046875,6330.2998046875,6297.89990234375,6320.14990234375,141700,0.00156123102385989,0.12214555361299506,32.39990234375,0.16052416052416052
2014-01-22,6338.9501953125,6349.9501953125,6287.4501953125,6309.0498046875,137500,0.0039754873445066955,0.12214555361299506,62.5,-0.029640084685956247
2014-01-23,6345.64990234375,6355.60009765625,6316.39990234375,6325.9501953125,120100,0.0010563529953923905,0.12214555361299506,39.2001953125,-0.12654545454545452
2014-01-24,6266.75,6331.4501953125,6263.89990234375,6301.64990234375,160300,-0.012511644446641086,0.12214555361299506,67.55029296875,0.334721065778518
2014-01-27,6135.85009765625,6188.5498046875,6130.25,6186.2998046875,190400,-0.02110924516297498,0.12214555361299506,58.2998046875,0.18777292576419224
2014-01-28,6126.25,6163.60009765625,6085.9501953125,6131.85009765625,184100,-0.0015658165471230908,0.12214555361299506,77.64990234375,-0.03308823529411764
2014-01-29,6120.25,6170.4501953125,6109.7998046875,6161.0,146700,-0.0009798718785080376,0.12214555361299506,60.650390625,-0.2031504617055948
